case,member,candidate,depth,M_kipft,V_kip,live_deflection_in,total_deflection_in,wood_sustained_screen_in,flexural_screen_ratio,shear_screen_ratio,passes_limited_screen
storage_bands,E-rail,W8x24,7.93,7.749957996651774,8.148730406605317,0.0035122522656014406,0.006084607032864638,0.006084607032864638,0.14862120406976226,,True
storage_bands,S-header,W8x24,7.93,3.4456244245437664,1.5594656837400385,0.0007712921535458684,0.04088415070166456,0.04088415070166456,0.06607685499316467,,True
storage_bands,N-header,W8x24,7.93,9.650377372941213,4.389560034043405,0.06273518067472655,0.10748709212751965,0.10748709212751965,0.18506561009927455,,True
storage_bands,W-rail,W8x24,7.93,0.1887142794266184,0.11923525266076297,0.0,0.0005077174467503374,0.0005077174467503374,0.003618980057138213,,True
storage_bands,B1,W8x40,8.25,33.771577055280574,6.785913964425077,0.23755810532839405,0.650397525780418,0.650397525780418,0.3812858615142663,,True
storage_bands,B2,W8x40,8.25,44.87748554160601,9.01600322682991,0.45634716079829424,0.8669030659865524,0.8669030659865524,0.5066731325373434,,True
storage_bands,E-rail,W8x40,8.25,7.891329611439442,8.34646121012623,0.0019894743997619117,0.0035097011246403714,0.0035097011246403714,0.08909422276802614,,True
storage_bands,S-header,W8x40,8.25,3.780248548642179,1.7020454962387994,0.00043688945957700903,0.02561002442738036,0.02561002442738036,0.04267953854354325,,True
storage_bands,N-header,W8x40,8.25,9.943153759289377,4.521620121584457,0.035535612615067706,0.0627095157002298,0.0627095157002298,0.11225960638656851,,True
storage_bands,W-rail,W8x40,8.25,0.31452379904436345,0.1987254211012727,0.0,0.00047931772655539787,0.00047931772655539787,0.003551017990337489,,True
storage_bands,B1,W10x33,9.73,33.38034242815089,6.710448700198598,0.20282738817512008,0.5488606045516311,0.5488606045516311,0.38225260700579644,,True
