id,family,group,section,case,ratio,Nc,Nt,My,Mz,V,T,Pc,Pt,Mmajor,Mminor,Vc,Tc,Lb
M084,T-N:web,T-N,HSS3x3x0.125,strength B2@0/8,0.215187243664621,0.0,4885.931546729839,6192.560858461702,858.2094700798992,486.2847937897369,433.57270876533374,53098.57767730026,58500.0,53550.0,53550.0,19406.25,29109.375,42.59295899852463
M085,T-N:web,T-N,HSS3x3x0.125,strength B2@0/8,0.06720953723003373,1394.1423697757714,0.0,631.0359024054388,1651.9950813533965,132.6703140147472,514.1659227426237,56728.0165797031,58500.0,53550.0,53550.0,19406.25,29109.375,24.0
M086,T-N:web,T-N,HSS3x3x0.125,strength B2@0/8,0.09869545561752507,0.0,3133.0030897863317,1475.3527612044813,941.8860587711132,67.93316768677607,225.92755358595906,53098.57767730026,58500.0,53550.0,53550.0,19406.25,29109.375,42.59295899852463
M087,T-N:web,T-N,HSS3x3x0.125,strength B2@0/8,0.056556480552970786,239.88569262559662,0.0,310.06386897563755,2492.0888467386185,193.6823587096036,95.36338609163259,56728.0165797031,58500.0,53550.0,53550.0,19406.25,29109.375,24.0
M088,T-N:web,T-N,HSS3x3x0.125,strength B2@0/8,0.06536213981797027,902.4448023460153,0.0,2187.823452485175,402.20211695690773,406.8795757853305,44.212151166015325,53098.57767730026,58500.0,53550.0,53550.0,19406.25,29109.375,42.59295899852463
M089,T-N:web,T-N,HSS3x3x0.125,strength B2@8/8,0.008514539864556869,0.0,91.36997173985144,117.71972757154029,254.59521573669295,17.949637415899893,76.32024685293992,56728.0165797031,58500.0,53550.0,53550.0,19406.25,29109.375,24.0
M090,T-N:web,T-N,HSS3x3x0.125,strength B2@0/8,0.016310620750272543,0.0,654.935415221336,159.53240073888867,114.38353727405986,8.97885249408444,43.767991326791076,53098.57767730026,58500.0,53550.0,53550.0,19406.25,29109.375,42.59295899852463
M091,T-N:web,T-N,HSS3x3x0.125,strength B2@8/8,0.007674743592303933,0.0,57.02135668974359,155.69898571057152,203.08706099515422,10.146664974654323,82.99378450764958,56728.0165797031,58500.0,53550.0,53550.0,19406.25,29109.375,24.0
M092,T-N:web,T-N,HSS3x3x0.125,strength B2@8/8,0.046118145285982,739.9746198173265,0.0,1077.830418215356,645.5306814027856,48.08229176549702,143.9297863049627,53098.57767730026,58500.0,53550.0,53550.0,19406.25,29109.375,42.59295899852463
M093,T-N:web,T-N,HSS3x3x0.125,strength roof,0.06661711643528051,285.45632903291494,0.0,1795.6887775285293,1502.1933111755936,77.07782282911141,21.020117545237188,56728.0165797031,58500.0,53550.0,53550.0,19406.25,29109.375,24.0
M094,T-N:web,T-N,HSS3x3x0.125,strength B2@8/8,0.1662763869881156,4192.497143851553,0.0,3692.8532698187964,983.1072188787955,199.86648795040733,326.0639957209408,53098.57767730026,58500.0,53550.0,53550.0,19406.25,29109.375,42.59295899852463
M095,T-N:web,T-N,HSS3x3x0.125,strength B2@0/8,0.022013516326100758,147.18293249435507,0.0,960.3429760779196,76.17945013893866,44.48370461290933,10.456970479950483,55386.99920016883,58500.0,53550.0,53550.0,19406.25,29109.375,32.0
M096,B2:beam,B2,W8X31,strength B2@4/8,0.6058438692855035,7.945148936737815,0.0,524793.8621651875,1.8131094029601857e-09,1693.512091541243,20.60300494406597,374259.58166019426,410850.00000000006,866250.0,417150.0,61559.99999999999,33268.96551724138,72
M097,B3:beam,B3,HSS5x5x0.25,strength B2@0/8,0.6943322028702759,38.11700591732846,0.0,192890.29311742084,6892.84353173188,5286.1354432314065,4377.8621220940995,59487.53612240891,193500.0,288000.0,288000.0,64125.0,160312.5,246.5
M098,T-SO:beam,T-SO,HSS2x2x0.125,strength roof,0.24520826590516476,0.0,24.075531283009973,4362.569822386601,986.2055384313251,159.630174024179,1752.1961423866692,1385.5407936520346,37800.0,21870.0,21870.0,12656.25,12656.25,281.5
